activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(50,25)	0.0001	0.802	0.511	0.911	0.585	0.467	0.711	0.609	0.147	0.825	0.193	-0.035	0.486	0.604	0.122	0.829	0.164	-0.063	0.476
relu	(75,37)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(75,37)	0.01	0.798	0.516	0.905	0.582	0.46	0.711	0.586	0.196	0.768	0.232	-0.04	0.482	0.584	0.122	0.8	0.158	-0.095	0.461
relu	(75,37)	0.001	0.808	0.527	0.913	0.6	0.485	0.72	0.571	0.159	0.764	0.191	-0.087	0.461	0.584	0.245	0.743	0.273	-0.013	0.494
relu	(75,37)	0.0001	0.811	0.533	0.915	0.607	0.494	0.724	0.551	0.192	0.718	0.213	-0.096	0.455	0.558	0.224	0.714	0.244	-0.065	0.469
relu	(100,50)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(100,50)	0.01	0.803	0.517	0.911	0.588	0.471	0.714	0.594	0.224	0.766	0.259	-0.011	0.495	0.578	0.143	0.781	0.177	-0.09	0.462
relu	(100,50)	0.001	0.808	0.489	0.928	0.582	0.478	0.708	0.619	0.192	0.819	0.242	0.013	0.505	0.61	0.184	0.81	0.231	-0.008	0.497
relu	(100,50)	0.0001	0.811	0.511	0.923	0.596	0.488	0.717	0.621	0.188	0.823	0.238	0.013	0.505	0.604	0.163	0.81	0.208	-0.033	0.486
relu	(125,62)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(125,62)	0.01	0.818	0.544	0.921	0.617	0.513	0.733	0.584	0.159	0.783	0.194	-0.068	0.471	0.584	0.184	0.771	0.22	-0.051	0.478
relu	(125,62)	0.001	0.809	0.511	0.921	0.591	0.484	0.716	0.608	0.204	0.796	0.248	0.001	0.5	0.597	0.143	0.81	0.184	-0.058	0.476
relu	(125,62)	0.0001	0.823	0.511	0.94	0.61	0.521	0.726	0.63	0.286	0.79	0.329	0.084	0.538	0.597	0.245	0.762	0.279	0.007	0.503
relu	(150,75)	0.1	0.743	0.1	0.986	0.118	0.097	0.543	0.669	0.045	0.96	0.054	0.006	0.502	0.682	0.0	1.0	0.0	0.0	0.5
relu	(150,75)	0.01	0.783	0.511	0.886	0.563	0.427	0.699	0.575	0.208	0.747	0.237	-0.046	0.477	0.519	0.061	0.733	0.075	-0.239	0.397
relu	(150,75)	0.001	0.797	0.494	0.911	0.57	0.452	0.703	0.57	0.167	0.758	0.197	-0.086	0.463	0.545	0.184	0.714	0.205	-0.109	0.449
relu	(150,75)	0.0001	0.805	0.467	0.932	0.566	0.465	0.699	0.575	0.147	0.775	0.178	-0.093	0.461	0.565	0.143	0.762	0.173	-0.109	0.452
relu	(175,87)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(175,87)	0.01	0.785	0.483	0.899	0.551	0.421	0.691	0.616	0.151	0.832	0.196	-0.024	0.492	0.617	0.204	0.81	0.253	0.016	0.507
relu	(175,87)	0.001	0.815	0.522	0.926	0.605	0.503	0.724	0.634	0.245	0.815	0.298	0.07	0.53	0.617	0.265	0.781	0.306	0.051	0.523
relu	(175,87)	0.0001	0.815	0.511	0.93	0.602	0.5	0.72	0.605	0.253	0.77	0.29	0.026	0.511	0.584	0.265	0.733	0.289	-0.001	0.499
relu	(200,100)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(200,100)	0.01	0.794	0.494	0.907	0.567	0.446	0.701	0.587	0.147	0.792	0.185	-0.071	0.47	0.545	0.143	0.733	0.167	-0.138	0.438
relu	(200,100)	0.001	0.805	0.5	0.919	0.582	0.47	0.709	0.609	0.196	0.802	0.24	-0.002	0.499	0.61	0.224	0.79	0.268	0.017	0.507
relu	(200,100)	0.0001	0.806	0.483	0.928	0.576	0.471	0.705	0.626	0.167	0.84	0.22	0.01	0.504	0.617	0.143	0.838	0.192	-0.024	0.49
relu	(225,112)	0.1	0.725	0.0	0.998	0.0	-0.011	0.499	0.681	0.0	0.998	0.0	-0.011	0.499	0.682	0.0	1.0	0.0	0.0	0.5
relu	(225,112)	0.01	0.802	0.521	0.907	0.587	0.469	0.714	0.603	0.147	0.815	0.188	-0.05	0.481	0.558	0.204	0.724	0.227	-0.077	0.464
relu	(225,112)	0.001	0.805	0.505	0.917	0.585	0.473	0.711	0.57	0.151	0.766	0.182	-0.095	0.458	0.552	0.163	0.733	0.188	-0.114	0.448
relu	(225,112)	0.0001	0.815	0.494	0.936	0.593	0.497	0.715	0.582	0.159	0.779	0.193	-0.073	0.469	0.565	0.143	0.762	0.173	-0.109	0.452
relu	(250,125)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.683	0.004	1.0	0.008	0.024	0.502	0.682	0.0	1.0	0.0	0.0	0.5
relu	(250,125)	0.01	0.805	0.494	0.921	0.579	0.47	0.708	0.568	0.155	0.76	0.183	-0.099	0.458	0.513	0.245	0.638	0.242	-0.116	0.441
relu	(250,125)	0.001	0.82	0.533	0.928	0.615	0.514	0.73	0.59	0.184	0.779	0.22	-0.043	0.481	0.578	0.224	0.743	0.253	-0.035	0.484
relu	(250,125)	0.0001	0.814	0.5	0.932	0.595	0.494	0.716	0.625	0.2	0.823	0.253	0.029	0.511	0.604	0.184	0.8	0.228	-0.019	0.492
relu	(275,137)	0.1	0.728	0.172	0.938	0.187	0.117	0.555	0.626	0.065	0.888	0.074	-0.051	0.476	0.578	0.163	0.771	0.198	-0.075	0.467
relu	(275,137)	0.01	0.802	0.533	0.903	0.595	0.472	0.718	0.582	0.224	0.749	0.254	-0.03	0.487	0.571	0.184	0.752	0.214	-0.071	0.468
relu	(275,137)	0.001	0.805	0.5	0.919	0.583	0.473	0.71	0.601	0.143	0.815	0.187	-0.049	0.479	0.61	0.143	0.829	0.189	-0.036	0.486
relu	(275,137)	0.0001	0.806	0.467	0.934	0.567	0.469	0.7	0.627	0.11	0.869	0.158	-0.028	0.489	0.63	0.102	0.876	0.149	-0.032	0.489
relu	(300,150)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(300,150)	0.01	0.797	0.5	0.909	0.57	0.451	0.704	0.59	0.229	0.758	0.261	-0.013	0.493	0.623	0.184	0.829	0.237	0.015	0.506
relu	(300,150)	0.001	0.802	0.506	0.913	0.582	0.467	0.709	0.584	0.196	0.766	0.23	-0.041	0.481	0.571	0.184	0.752	0.214	-0.071	0.468
relu	(300,150)	0.0001	0.82	0.522	0.932	0.612	0.515	0.727	0.608	0.176	0.81	0.22	-0.02	0.493	0.584	0.163	0.781	0.2	-0.065	0.472
relu	(25,25)	0.1	0.729	0.044	0.988	0.078	0.09	0.516	0.677	0.037	0.975	0.064	0.029	0.506	0.675	0.0	0.99	0.0	-0.055	0.495
relu	(25,25)	0.01	0.785	0.55	0.874	0.583	0.442	0.712	0.544	0.245	0.684	0.253	-0.074	0.464	0.545	0.184	0.714	0.205	-0.109	0.449
relu	(25,25)	0.001	0.814	0.549	0.913	0.614	0.501	0.731	0.569	0.229	0.728	0.252	-0.046	0.478	0.565	0.265	0.705	0.28	-0.031	0.485
relu	(25,25)	0.0001	0.797	0.527	0.899	0.585	0.459	0.713	0.587	0.245	0.747	0.275	-0.008	0.496	0.597	0.286	0.743	0.311	0.03	0.514
relu	(50,50)	0.1	0.731	0.017	1.0	0.032	0.069	0.508	0.684	0.008	1.0	0.016	0.034	0.504	0.682	0.0	1.0	0.0	0.0	0.5
relu	(50,50)	0.01	0.789	0.484	0.905	0.557	0.433	0.694	0.581	0.212	0.752	0.24	-0.04	0.482	0.545	0.143	0.733	0.167	-0.138	0.438
relu	(50,50)	0.001	0.795	0.478	0.915	0.56	0.445	0.697	0.59	0.196	0.773	0.232	-0.033	0.485	0.571	0.143	0.771	0.175	-0.1	0.457
relu	(50,50)	0.0001	0.789	0.484	0.905	0.554	0.434	0.694	0.597	0.171	0.796	0.21	-0.039	0.484	0.591	0.163	0.79	0.203	-0.054	0.477
relu	(75,75)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(75,75)	0.01	0.782	0.489	0.892	0.549	0.418	0.691	0.604	0.188	0.798	0.231	-0.015	0.493	0.604	0.245	0.771	0.282	0.018	0.508
relu	(75,75)	0.001	0.797	0.522	0.901	0.585	0.46	0.711	0.603	0.265	0.76	0.297	0.027	0.513	0.63	0.327	0.771	0.36	0.104	0.549
