activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(250,50)	0.001	0.971	0.907	0.996	0.945	0.928	0.951	0.732	0.661	0.766	0.611	0.412	0.713	0.734	0.653	0.771	0.61	0.411	0.712
relu	(250,50)	0.0001	0.962	0.88	0.994	0.927	0.905	0.937	0.744	0.665	0.781	0.623	0.434	0.723	0.721	0.633	0.762	0.59	0.382	0.697
relu	(275,55)	0.1	0.791	0.249	0.996	0.306	0.36	0.622	0.696	0.171	0.941	0.192	0.173	0.556	0.701	0.061	1.0	0.115	0.206	0.531
relu	(275,55)	0.01	0.956	0.896	0.979	0.917	0.89	0.938	0.719	0.686	0.735	0.609	0.401	0.71	0.708	0.653	0.733	0.587	0.369	0.693
relu	(275,55)	0.001	0.965	0.902	0.99	0.934	0.912	0.946	0.725	0.657	0.756	0.603	0.398	0.707	0.721	0.653	0.752	0.598	0.39	0.703
relu	(275,55)	0.0001	0.962	0.896	0.988	0.928	0.904	0.942	0.71	0.608	0.758	0.572	0.356	0.683	0.714	0.592	0.771	0.569	0.356	0.682
relu	(300,60)	0.1	0.728	0.011	0.998	0.02	0.026	0.504	0.681	0.016	0.99	0.028	0.014	0.503	0.682	0.0	1.0	0.0	0.0	0.5
relu	(300,60)	0.01	0.961	0.902	0.983	0.926	0.901	0.943	0.735	0.714	0.745	0.632	0.436	0.73	0.753	0.755	0.752	0.661	0.481	0.754
relu	(300,60)	0.001	0.965	0.901	0.99	0.935	0.913	0.945	0.743	0.678	0.773	0.626	0.435	0.725	0.753	0.694	0.781	0.642	0.458	0.737
relu	(300,60)	0.0001	0.968	0.912	0.99	0.941	0.92	0.951	0.745	0.69	0.771	0.633	0.444	0.731	0.76	0.735	0.771	0.661	0.483	0.753
relu	(25,12)	0.1	0.946	0.879	0.971	0.899	0.863	0.925	0.712	0.649	0.741	0.589	0.374	0.695	0.721	0.551	0.8	0.557	0.353	0.676
relu	(25,12)	0.01	0.959	0.902	0.981	0.924	0.897	0.942	0.729	0.69	0.747	0.617	0.417	0.718	0.714	0.694	0.724	0.607	0.396	0.709
relu	(25,12)	0.001	0.961	0.89	0.988	0.925	0.901	0.939	0.73	0.649	0.768	0.605	0.403	0.708	0.714	0.653	0.743	0.593	0.379	0.698
relu	(25,12)	0.0001	0.959	0.879	0.99	0.922	0.897	0.935	0.725	0.6	0.783	0.581	0.377	0.691	0.721	0.592	0.781	0.574	0.367	0.686
relu	(50,25)	0.1	0.859	0.527	0.983	0.669	0.63	0.755	0.718	0.339	0.895	0.43	0.289	0.617	0.727	0.429	0.867	0.5	0.328	0.648
relu	(50,25)	0.01	0.968	0.924	0.985	0.94	0.92	0.955	0.719	0.694	0.731	0.612	0.404	0.713	0.714	0.673	0.733	0.6	0.387	0.703
relu	(50,25)	0.001	0.968	0.918	0.988	0.941	0.921	0.953	0.714	0.682	0.73	0.603	0.391	0.706	0.721	0.694	0.733	0.613	0.406	0.714
relu	(50,25)	0.0001	0.959	0.901	0.981	0.924	0.898	0.941	0.712	0.637	0.747	0.584	0.369	0.692	0.695	0.612	0.733	0.561	0.332	0.673
relu	(75,37)	0.1	0.83	0.406	0.99	0.555	0.543	0.698	0.717	0.233	0.943	0.337	0.261	0.588	0.695	0.163	0.943	0.254	0.172	0.553
relu	(75,37)	0.01	0.97	0.934	0.983	0.945	0.924	0.959	0.713	0.678	0.73	0.6	0.387	0.704	0.727	0.694	0.743	0.618	0.416	0.718
relu	(75,37)	0.001	0.965	0.896	0.992	0.933	0.912	0.944	0.704	0.629	0.739	0.575	0.353	0.684	0.727	0.653	0.762	0.604	0.4	0.707
relu	(75,37)	0.0001	0.961	0.891	0.988	0.924	0.9	0.939	0.69	0.58	0.741	0.543	0.311	0.66	0.714	0.633	0.752	0.585	0.371	0.693
relu	(100,50)	0.1	0.776	0.208	0.99	0.261	0.242	0.599	0.703	0.18	0.947	0.2	0.147	0.563	0.74	0.224	0.981	0.355	0.344	0.603
relu	(100,50)	0.01	0.962	0.912	0.981	0.93	0.905	0.947	0.714	0.62	0.758	0.58	0.367	0.689	0.701	0.612	0.743	0.566	0.343	0.678
relu	(100,50)	0.001	0.973	0.923	0.992	0.949	0.932	0.958	0.736	0.661	0.771	0.615	0.418	0.716	0.74	0.653	0.781	0.615	0.422	0.717
relu	(100,50)	0.0001	0.968	0.912	0.99	0.941	0.92	0.951	0.739	0.624	0.792	0.603	0.41	0.708	0.76	0.673	0.8	0.641	0.462	0.737
relu	(125,62)	0.1	0.889	0.639	0.983	0.74	0.707	0.811	0.701	0.465	0.811	0.468	0.291	0.638	0.721	0.163	0.981	0.271	0.273	0.572
relu	(125,62)	0.01	0.962	0.912	0.981	0.93	0.905	0.947	0.716	0.653	0.745	0.593	0.382	0.699	0.727	0.694	0.743	0.618	0.416	0.718
relu	(125,62)	0.001	0.971	0.912	0.994	0.946	0.928	0.953	0.719	0.624	0.764	0.586	0.377	0.694	0.727	0.633	0.771	0.596	0.393	0.702
relu	(125,62)	0.0001	0.97	0.912	0.992	0.943	0.924	0.952	0.699	0.539	0.773	0.532	0.31	0.656	0.714	0.592	0.771	0.569	0.356	0.682
relu	(150,75)	0.1	0.871	0.613	0.967	0.651	0.608	0.79	0.713	0.465	0.829	0.455	0.294	0.647	0.701	0.714	0.695	0.603	0.385	0.705
relu	(150,75)	0.01	0.968	0.902	0.994	0.939	0.92	0.948	0.723	0.653	0.756	0.6	0.394	0.705	0.74	0.755	0.733	0.649	0.461	0.744
relu	(150,75)	0.001	0.97	0.913	0.992	0.942	0.924	0.952	0.722	0.673	0.745	0.607	0.4	0.709	0.74	0.673	0.771	0.623	0.429	0.722
relu	(150,75)	0.0001	0.958	0.88	0.988	0.919	0.893	0.934	0.73	0.612	0.785	0.59	0.39	0.699	0.708	0.592	0.762	0.563	0.345	0.677
relu	(175,87)	0.1	0.8	0.289	0.992	0.379	0.417	0.64	0.692	0.184	0.93	0.223	0.188	0.557	0.714	0.204	0.952	0.312	0.246	0.578
relu	(175,87)	0.01	0.97	0.918	0.99	0.941	0.925	0.954	0.723	0.657	0.754	0.601	0.396	0.706	0.701	0.551	0.771	0.54	0.319	0.661
relu	(175,87)	0.001	0.973	0.929	0.99	0.949	0.931	0.959	0.751	0.661	0.792	0.628	0.443	0.727	0.74	0.653	0.781	0.615	0.422	0.717
relu	(175,87)	0.0001	0.961	0.89	0.988	0.926	0.901	0.939	0.755	0.62	0.817	0.616	0.437	0.719	0.76	0.612	0.829	0.619	0.443	0.72
relu	(200,100)	0.1	0.737	0.044	0.998	0.081	0.126	0.521	0.687	0.02	0.998	0.036	0.045	0.509	0.682	0.0	1.0	0.0	0.0	0.5
relu	(200,100)	0.01	0.968	0.906	0.992	0.94	0.92	0.949	0.719	0.669	0.743	0.603	0.395	0.706	0.714	0.571	0.781	0.56	0.349	0.676
relu	(200,100)	0.001	0.964	0.89	0.992	0.931	0.908	0.941	0.76	0.776	0.752	0.673	0.499	0.764	0.76	0.776	0.752	0.673	0.499	0.764
relu	(200,100)	0.0001	0.959	0.874	0.992	0.922	0.897	0.933	0.769	0.767	0.77	0.679	0.51	0.768	0.779	0.796	0.771	0.696	0.537	0.784
relu	(225,112)	0.1	0.78	0.224	0.99	0.299	0.313	0.607	0.706	0.204	0.941	0.249	0.208	0.573	0.513	0.898	0.333	0.54	0.246	0.616
relu	(225,112)	0.01	0.965	0.89	0.994	0.933	0.912	0.942	0.717	0.69	0.73	0.608	0.398	0.71	0.76	0.776	0.752	0.673	0.499	0.764
relu	(225,112)	0.001	0.964	0.891	0.992	0.931	0.908	0.941	0.731	0.649	0.77	0.606	0.406	0.709	0.734	0.633	0.781	0.602	0.404	0.707
relu	(225,112)	0.0001	0.961	0.89	0.988	0.926	0.901	0.939	0.742	0.645	0.787	0.614	0.422	0.716	0.74	0.633	0.79	0.608	0.415	0.712
relu	(250,125)	0.1	0.765	0.142	1.0	0.239	0.314	0.571	0.697	0.098	0.977	0.156	0.149	0.538	0.701	0.122	0.971	0.207	0.186	0.547
relu	(250,125)	0.01	0.967	0.924	0.983	0.938	0.916	0.954	0.713	0.657	0.739	0.592	0.38	0.698	0.74	0.653	0.781	0.615	0.422	0.717
relu	(250,125)	0.001	0.971	0.912	0.994	0.946	0.928	0.953	0.747	0.682	0.777	0.631	0.443	0.729	0.773	0.694	0.81	0.66	0.491	0.752
relu	(250,125)	0.0001	0.958	0.885	0.985	0.92	0.893	0.935	0.762	0.678	0.802	0.645	0.468	0.74	0.766	0.673	0.81	0.647	0.474	0.741
relu	(275,137)	0.1	0.824	0.373	0.994	0.422	0.415	0.684	0.701	0.314	0.882	0.317	0.188	0.598	0.734	0.633	0.781	0.602	0.404	0.707
relu	(275,137)	0.01	0.971	0.896	1.0	0.944	0.928	0.948	0.712	0.673	0.73	0.597	0.384	0.701	0.734	0.673	0.762	0.617	0.419	0.718
relu	(275,137)	0.001	0.976	0.923	0.996	0.954	0.939	0.96	0.732	0.673	0.76	0.616	0.417	0.717	0.76	0.735	0.771	0.661	0.483	0.753
relu	(275,137)	0.0001	0.965	0.896	0.992	0.934	0.912	0.944	0.735	0.596	0.8	0.588	0.393	0.698	0.734	0.612	0.79	0.594	0.397	0.701
relu	(300,150)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(300,150)	0.01	0.965	0.913	0.986	0.934	0.913	0.949	0.718	0.694	0.73	0.61	0.402	0.712	0.727	0.653	0.762	0.604	0.4	0.707
relu	(300,150)	0.001	0.967	0.891	0.996	0.935	0.916	0.943	0.73	0.649	0.768	0.604	0.403	0.708	0.734	0.673	0.762	0.617	0.419	0.718
relu	(300,150)	0.0001	0.964	0.891	0.992	0.93	0.909	0.941	0.734	0.604	0.794	0.591	0.394	0.699	0.734	0.592	0.8	0.586	0.39	0.696
relu	(25,25)	0.1	0.943	0.83	0.986	0.884	0.853	0.908	0.718	0.551	0.796	0.555	0.354	0.674	0.74	0.551	0.829	0.574	0.389	0.69
relu	(25,25)	0.01	0.962	0.918	0.979	0.93	0.905	0.949	0.709	0.669	0.728	0.594	0.378	0.699	0.727	0.673	0.752	0.611	0.408	0.713
relu	(25,25)	0.001	0.958	0.901	0.979	0.921	0.893	0.94	0.725	0.661	0.754	0.604	0.4	0.708	0.701	0.653	0.724	0.582	0.359	0.688
relu	(25,25)	0.0001	0.955	0.901	0.975	0.916	0.886	0.938	0.706	0.669	0.724	0.592	0.374	0.697	0.708	0.653	0.733	0.587	0.369	0.693
relu	(50,50)	0.1	0.908	0.678	0.996	0.791	0.767	0.837	0.716	0.42	0.853	0.477	0.312	0.637	0.727	0.245	0.952	0.364	0.293	0.599
relu	(50,50)	0.01	0.964	0.908	0.986	0.931	0.908	0.947	0.717	0.653	0.747	0.595	0.384	0.7	0.701	0.592	0.752	0.558	0.335	0.672
relu	(50,50)	0.001	0.964	0.912	0.983	0.933	0.909	0.948	0.732	0.616	0.787	0.594	0.396	0.701	0.74	0.633	0.79	0.608	0.415	0.712
relu	(50,50)	0.0001	0.964	0.912	0.983	0.933	0.909	0.948	0.729	0.58	0.798	0.576	0.376	0.689	0.734	0.612	0.79	0.594	0.397	0.701
relu	(75,75)	0.1	0.845	0.741	0.884	0.708	0.646	0.813	0.674	0.551	0.731	0.483	0.282	0.641	0.753	0.245	0.99	0.387	0.394	0.618
relu	(75,75)	0.01	0.97	0.929	0.985	0.944	0.924	0.957	0.716	0.661	0.741	0.596	0.385	0.701	0.74	0.633	0.79	0.608	0.415	0.712
relu	(75,75)	0.001	0.964	0.896	0.99	0.931	0.908	0.943	0.729	0.661	0.76	0.608	0.406	0.711	0.721	0.673	0.743	0.606	0.398	0.708
relu	(75,75)	0.0001	0.953	0.852	0.992	0.908	0.881	0.922	0.727	0.633	0.771	0.596	0.393	0.702	0.727	0.612	0.781	0.588	0.385	0.697
relu	(100,100)	0.1	0.878	0.61	0.979	0.66	0.65	0.795	0.731	0.49	0.844	0.49	0.369	0.667	0.656	0.571	0.695	0.514	0.255	0.633
relu	(100,100)	0.01	0.962	0.896	0.988	0.928	0.905	0.942	0.704	0.649	0.73	0.582	0.361	0.689	0.721	0.592	0.781	0.574	0.367	0.686
