activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(150,75)	0.1	0.794	0.263	0.994	0.308	0.291	0.628	0.714	0.224	0.943	0.237	0.173	0.584	0.682	0.0	1.0	0.0	0.0	0.5
relu	(150,75)	0.01	0.928	0.808	0.973	0.86	0.815	0.891	0.745	0.645	0.792	0.617	0.428	0.719	0.773	0.714	0.8	0.667	0.498	0.757
relu	(150,75)	0.001	0.914	0.732	0.983	0.822	0.78	0.858	0.74	0.6	0.806	0.594	0.404	0.703	0.74	0.633	0.79	0.608	0.415	0.712
relu	(150,75)	0.0001	0.908	0.698	0.988	0.806	0.765	0.843	0.712	0.473	0.823	0.51	0.31	0.648	0.734	0.551	0.819	0.568	0.377	0.685
relu	(175,87)	0.1	0.811	0.386	0.971	0.442	0.399	0.679	0.713	0.322	0.895	0.341	0.25	0.609	0.675	0.51	0.752	0.5	0.26	0.631
relu	(175,87)	0.01	0.916	0.759	0.975	0.831	0.784	0.867	0.71	0.547	0.787	0.545	0.335	0.667	0.708	0.612	0.752	0.571	0.353	0.682
relu	(175,87)	0.001	0.932	0.775	0.992	0.862	0.828	0.883	0.699	0.478	0.802	0.501	0.287	0.64	0.695	0.469	0.8	0.495	0.278	0.635
relu	(175,87)	0.0001	0.928	0.747	0.996	0.85	0.817	0.872	0.71	0.457	0.829	0.501	0.302	0.643	0.701	0.449	0.819	0.489	0.282	0.634
relu	(200,100)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(200,100)	0.01	0.917	0.759	0.977	0.834	0.788	0.868	0.726	0.584	0.792	0.574	0.373	0.688	0.747	0.633	0.8	0.614	0.426	0.716
relu	(200,100)	0.001	0.929	0.77	0.99	0.854	0.821	0.88	0.757	0.576	0.842	0.601	0.428	0.709	0.773	0.612	0.848	0.632	0.468	0.73
relu	(200,100)	0.0001	0.922	0.731	0.994	0.836	0.802	0.863	0.756	0.588	0.834	0.604	0.429	0.711	0.773	0.612	0.848	0.632	0.468	0.73
relu	(225,112)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(225,112)	0.01	0.923	0.786	0.975	0.849	0.804	0.881	0.748	0.624	0.806	0.611	0.426	0.715	0.799	0.735	0.829	0.699	0.55	0.782
relu	(225,112)	0.001	0.937	0.808	0.986	0.875	0.84	0.897	0.716	0.514	0.81	0.533	0.33	0.662	0.74	0.592	0.81	0.592	0.401	0.701
relu	(225,112)	0.0001	0.925	0.764	0.986	0.846	0.809	0.875	0.692	0.449	0.806	0.48	0.265	0.627	0.701	0.49	0.8	0.511	0.297	0.645
relu	(250,125)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(250,125)	0.01	0.925	0.808	0.969	0.854	0.808	0.888	0.714	0.559	0.787	0.554	0.345	0.673	0.727	0.571	0.8	0.571	0.371	0.686
relu	(250,125)	0.001	0.937	0.803	0.988	0.874	0.839	0.895	0.751	0.616	0.813	0.611	0.428	0.715	0.76	0.673	0.8	0.641	0.462	0.737
relu	(250,125)	0.0001	0.92	0.732	0.992	0.833	0.797	0.862	0.748	0.555	0.838	0.583	0.405	0.697	0.76	0.612	0.829	0.619	0.443	0.72
relu	(275,137)	0.1	0.821	0.408	0.977	0.458	0.419	0.692	0.722	0.371	0.886	0.366	0.255	0.629	0.792	0.735	0.819	0.692	0.538	0.777
relu	(275,137)	0.01	0.934	0.808	0.981	0.87	0.831	0.895	0.742	0.596	0.81	0.593	0.405	0.703	0.708	0.49	0.81	0.516	0.309	0.65
relu	(275,137)	0.001	0.934	0.78	0.992	0.865	0.832	0.886	0.73	0.551	0.813	0.564	0.37	0.682	0.766	0.633	0.829	0.633	0.461	0.731
relu	(275,137)	0.0001	0.923	0.737	0.994	0.838	0.806	0.865	0.745	0.535	0.844	0.571	0.394	0.689	0.786	0.653	0.848	0.66	0.503	0.75
relu	(300,150)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(300,150)	0.01	0.917	0.792	0.965	0.839	0.788	0.878	0.742	0.665	0.777	0.62	0.428	0.721	0.786	0.694	0.829	0.673	0.515	0.761
relu	(300,150)	0.001	0.923	0.753	0.988	0.842	0.804	0.87	0.725	0.527	0.817	0.548	0.352	0.672	0.747	0.551	0.838	0.581	0.401	0.695
relu	(300,150)	0.0001	0.922	0.732	0.994	0.836	0.801	0.863	0.713	0.445	0.838	0.496	0.304	0.641	0.714	0.51	0.81	0.532	0.327	0.66
relu	(25,25)	0.1	0.857	0.792	0.882	0.768	0.683	0.837	0.642	0.604	0.659	0.53	0.256	0.632	0.682	0.0	1.0	0.0	0.0	0.5
